Address,Start votes,Start balance,End votes,End balance,Excluded ,CRE8R Payout,,
0x829a6912a0d33550558223334948c555ead9eed0,0,893.2125666,893.1174689,891.7797041,,5.879227075,,
0xb15c3216c68f1e1c632e6d5ab6926df7bd909f64,891.8600193,1188.727652,891.8600193,2285.309485,,5.870949517,,
0x937545811348ac77b8fac0465418dbdb684334d6,0,878.8290049,878.7448234,877.3961425,,5.784614608,,
0xf64d63a924b005f237eba17f47793186d4b373e8,0,840.1893094,839.4434997,838.9230673,,5.525901265,,
0xf5de6e933115f23c374c5e258f759beeb930e8d7,0,787.7220378,784.0821368,783.1329474,,5.161467655,,
0xc231d89fe7995b4f5be43aa5877ced34b75d24b1,0,733.2281776,733.224154,732.1711118,,4.826678962,,
0x760dee919cd127c406b93df70e872c608595627f,0,721.7306859,718.700813,711.1047315,,4.731074495,,
0x5317924331f7db32ad663b5fc95bff5ef3eb548a,716.7980216,716.1916608,716.7980216,715.1012973,,4.718548772,,
0x57513812cfa13ccf9b1e86d181c78591d233cfbc,0,667.7821504,667.6380003,666.7497091,,4.394937446,,
0x0302f3434dbdee9d3faf680cba8a2bae6b34a83c,0,595.826063,595.208783,590.1368315,,3.918149307,,
0x36b6085bb965dccb273b5e7f11145c36df2c6f27,0,437.8912767,437.6596103,437.1734126,,2.881032249,,
0x56d3f5cce3a29e5e490d3bc867053ba385542af4,0,420.2223965,420.1390886,418.9448078,,2.765697896,,
0xea03e783578fcb284376dcec0f5f433153726086,0,284.2048479,398.9325039,398.2991271,,2.626098873,,
0x6995cc0c8befa8745c58b37c880006018ad9e861,0,369.3645738,368.6839231,368.2182839,,2.426978061,,
0xf2e20d0fd7d75bec85c2ecb1d8a883fb58607a71,0,354.8992515,354.8814559,354.3670696,,2.336118972,,
0xc1798c61248fd8bd10f7a36305aaf7fbf7ab57e6,3.10832143,310.6543621,348.0909189,382.339322,,2.291418124,,
0x91864ff29ac004feb9841656d613ebfc05dc5597,320.0178433,6399.677702,320.0178433,6390.129107,,2.10661826,,
0xf1fcc66c13c4cccee4479acbafcec99efa86b32b,0,322.270212,312.6893654,293.0726186,,2.058376247,,
0x6e81417b312917305d12f76fa3b6bd66ffaa75e7,0,311.75997,311.7341397,311.2754591,,2.052088172,,
0x36b035ee38c24104511b9f220ed77ec8f722f87d,0,311.1852708,311.072087,310.7278205,,2.047730002,,
0xaf5c41f6a93ec2546eb1c244adb62c686c46ac5f,0,305.2433579,305.0731082,304.763989,,2.008239834,,
0xf8f72d8623d04c4890a3a2792146b16691dd3e5b,0,302.4876967,302.0623245,302.0473639,,1.988420402,,
0x66e9e855315fee013e5aeec5aa5f38ffddae1f4b,0,0,296.5649043,299.1777469,,1.952231902,,
0xaea2119432b4401f106379cdaab0f728ab7efd17,0,264.1592408,263.9784778,263.7651039,,1.737721484,,
0x0de2bc9aa4ee9d6768f7c7d9e17cbb46f3bac29d,0,257.1917485,256.1420029,254.2690544,,1.68613542,,
0xf7b293f6d32d86a47e58fa95966fdff32b404bfb,0,500.0618817,249.8753884,498.6290192,,1.644883456,,
0xc30e0e7abeacb8e5acce1400f7ea94e0d7665826,0,245.0330087,244.9041479,244.6728039,,1.6121587,,
0xb70d4ddd9a8e89349b5f0a2476910cc9d69b27e1,244.0887403,24330.66511,244.0887403,24290.55824,,1.606791022,,
0xa93ed9d9ab6891fa40167dae3a88902ca86a0b8e,0,87.48347127,243.2251237,239.723233,,1.601105993,,
